"id","member_id","order_date","shipping_date","sales_order_number","serial_number","barcode","product_id","product_name","quantity","unit_price","total_price","notes"
C102027,C8101000017547,2020-01-07 00:00:00.000,"20200107","1090107004",5,"4711916010583 ","2000868",魔力固節霜-強效升級版(紅),1,880,880,
C107093,C1031201268066,2020-01-08 00:00:00.000,"20200108","1090108005",1,"4711916012303 ","2001415",公司保倍鈣檸檬酸鈣粉(牛奶優格),2,585,1170,
C107093,C1031201268066,2020-01-08 00:00:00.000,"20200108","1090108005",2,"4711916012648 ","2001856",公司保倍鈣檸檬酸鈣粉(熱帶水果),1,585,585,
C107093,C1031201268066,2020-01-08 00:00:00.000,"20200108","1090108005",3,"4711916014659 ","2002370",超-公司精粹蔓越莓膠囊,4,390,1560,
C102027,C1011101180514,2020-01-08 00:00:00.000,"20200108","1090108001",1,"4711916014772 ","2002382",超-公司薑黃雙層錠_60錠,3,923.33,2770,
C107093,C1030000015277,2020-01-08 00:00:00.000,"20200108","1090108003",1,"4711916014680 ","2002373",超-公司深海魚油軟膠囊,2,612,1224,
C102027,C1030000015284,2020-01-08 00:00:00.000,"20200108","1090108002",1,"4711916015519 ","2001025",藍鑽金盞花葉黃素,3,1533,4599,
C107093,C1030000015260,2020-01-08 00:00:00.000,"20200108","1090108004",1,"4711916014666 ","2002371",超-公司南瓜籽油軟膠囊,3,660,1980,
C107093,C1030000015260,2020-01-08 00:00:00.000,"20200108","1090108004",2,"4711916015281 ","2002545",超-公司高單位精鋅活錠,1,522,522,
C104170,C1030000014669,2020-01-09 00:00:00.000,"20200109","1090109004",1,"4711916014765 ","2002381",超-公司葡萄糖胺錠(MSM升級配方),12,828,9936,
C104170,C1031201349291,2020-01-09 00:00:00.000,"20200109","1090109001",1,"4711916014772 ","2002382",超-公司薑黃雙層錠_60錠,4,615,2460,
C102027,C1011101290329,2020-01-09 00:00:00.000,"20200109","1090109005",1,"4711916012303 ","2001415",公司保倍鈣檸檬酸鈣粉(牛奶優格),3,519.84,1560,
C102027,C1011101290329,2020-01-09 00:00:00.000,"20200109","1090109005",2,"4711916012648 ","2001856",公司保倍鈣檸檬酸鈣粉(熱帶水果),3,519.84,1560,
C102027,C1011101290329,2020-01-09 00:00:00.000,"20200109","1090109005",3,"4711916014666 ","2002371",超-公司南瓜籽油軟膠囊,12,502.86,6033,
C102027,C1000100145259,2020-01-09 00:00:00.000,"20200109","1090109003",1,"4711916014772 ","2002382",超-公司薑黃雙層錠_60錠,4,615,2460,
C107093,C1030000012467,2020-01-09 00:00:00.000,"20200109","1090109002",1,"4711916014628 ","2001192",FLYFREE公司飛靈葡萄糖胺液,12,399.17,4790,
C108062,C1000100592527,2020-01-10 00:00:00.000,"20200110","1090110003",1,"4711916012969 ","2001932",公司飛靈龜鹿葡萄糖胺液_12入/盒,4,690,2760,
